age,ax_m,b1x_m,b2x_m
35,-6.719284969583359,0.009442335043380403,0.022048731638793517
36,-6.669817538443443,0.003614464631851368,0.044346255284562125
37,-6.600449722419886,-0.003933465982690122,0.03198661075602443
38,-6.540442456971964,-0.00670699932392473,0.01822037683877932
39,-6.4483449397569155,-0.012714616830311465,0.0316036264577832
40,-6.358347546795789,-0.02368098285825894,-0.022589128837336585
41,-6.271156515352886,-0.02890162248523027,-0.009008133591961445
42,-6.194341918806549,-0.034033933464448864,-0.03859285750670713
43,-6.09955291599393,-0.039015657351380004,-0.016664400262635316
44,-6.016355972685208,-0.050243406612005145,-0.07707886718338587
45,-5.902091205494697,-0.05971916378839394,-0.0825104718762084
46,-5.807256548557679,-0.06774937959546665,-0.06389387818093734
47,-5.71038312817003,-0.07172387230077511,-0.04835328149971029
48,-5.617968024502403,-0.07692679043547555,-0.07316081168344225
49,-5.509065801690927,-0.0842463327344147,-0.05425235409762344
50,-5.404410193299023,-0.08814213621887781,-0.06760021220012134
51,-5.30481220358798,-0.09056115064535913,-0.08902058603804863
52,-5.202279775356786,-0.09555418123397263,-0.07753032063768803
53,-5.089313707985459,-0.10459995145582897,-0.08222089505994114
54,-4.991986398067663,-0.11166564095206317,-0.08509569516351538
55,-4.884215493005489,-0.11104571832819901,-0.0970819320402771
56,-4.77825303688903,-0.11714344487599325,-0.08901687628964526
57,-4.669792075665098,-0.12450187334296801,-0.05844818370974886
58,-4.573741818447654,-0.12804231512995562,-0.07407632383030509
59,-4.4719163607416,-0.13360157401476797,-0.0594245041663108
60,-4.35793452970522,-0.13220772503899345,-0.040875737913010184
61,-4.258323182216679,-0.13483536076036592,-0.026866263799264458
62,-4.154878621092748,-0.1346585350481046,-0.013872868647558061
63,-4.054145496024396,-0.13657282091863854,-0.015680935881966368
64,-3.9485504453265063,-0.13736446436865765,-0.0062527958605994765
65,-3.848881503979518,-0.1387074053299573,0.01856190767144501
66,-3.7545788708606933,-0.13550920652847429,0.02542173951920198
67,-3.650580640695826,-0.13681206801193116,0.05368145607202111
68,-3.554801684422628,-0.13380485746730458,0.036463011105254337
69,-3.4563096106148112,-0.1325990479249355,0.05729220998967573
70,-3.3608897809807887,-0.1340979410397251,0.0696694125875111
71,-3.2601401657456677,-0.12924764231399274,0.0847137663394523
72,-3.1582869480088704,-0.12917550417681253,0.07785429470490712
73,-3.062468903505389,-0.1277489312722218,0.08706708085806715
74,-2.9609420472811774,-0.12470712648450719,0.0920264259208953
75,-2.8687869349655406,-0.12065153381420332,0.08139994736007578
76,-2.76893578455591,-0.11693223407123204,0.0717968429226935
77,-2.674270636444031,-0.11288458558943196,0.0697261900941748
78,-2.5792470190319774,-0.11014240071415098,0.07084957801983541
79,-2.480071446549155,-0.10531954031672851,0.06395333756747715
80,-2.384018382521401,-0.10150530361389004,0.04717536747023322
81,-2.2939513637047164,-0.09484331060407067,0.04153344814943544
82,-2.1963141809504974,-0.09132641485454064,0.04258033401439624
83,-2.102062733056354,-0.08771642576810014,0.050700989091353815
84,-2.0087422229640164,-0.08201116500679718,0.044254155874658835
85,-1.9173882062852468,-0.0762382626825218,0.050535802111714656
86,-1.8249431614734375,-0.07182076374070799,0.03874998530387597
87,-1.7408809768548268,-0.06464358865657799,0.04458074841983531
88,-1.6527377805600942,-0.05928710772537386,0.04361904288496953
89,-1.5668213591633617,-0.050374941648108594,0.04865209886330305
90,-1.51724475969952,-0.047550342571601636,0.053568848408899444
91,-1.4358931034595144,-0.04150284147376154,0.03216984971879668
92,-1.337355871978093,-0.03858592788500578,0.05115492786193358
93,-1.2511868442647025,-0.033035586194370185,0.04935029594196369
94,-1.1763427262009012,-0.03588001599199682,0.030557826252997827
95,-1.0887107138654537,-0.022786606399003356,0.044582298513372254
96,-1.0158187808976522,-0.023155078477250898,0.039249190385789764
97,-0.9395566815299443,-0.009113898869597094,0.06967497178677283
98,-0.8831443927481847,-0.007759536774253826,0.02060551449037554
99,-0.8293201073693042,-0.004820180206975861,0.09525722313637347
100,-0.7358568232477923,-0.0038971862237009982,0.037347577889186745
